Date,Close,pos,neg,score
2020-01-02,0.47933884297520596,49,126,0.5583952040042706
2020-01-03,0.4876033057851231,38,131,0.3780245693534559
2020-01-06,0.6694214876033054,70,92,0.9744849262954883
2020-01-07,0.5289256198347098,38,86,0.639959906365677
2020-01-08,0.48760330578512384,35,61,0.8025212057539048
2020-01-09,0.4876033057851231,24,89,0.33926235788258324
2020-01-10,0.4380165289256193,23,55,0.611716845860042
2020-01-13,0.5702479338842964,30,67,0.6505317032149582
2020-01-14,0.917355371900826,176,265,0.8881392508073915
2020-01-15,0.3719008264462804,80,199,0.5761735637525516
2020-01-16,0.5454545454545449,90,120,0.9650532146771826
2020-01-17,0.40495867768594984,68,152,0.643739179731851
2020-01-20,0.6363636363636352,61,115,0.7504724171368913
2020-01-21,0.3223140495867766,30,68,0.6413592439212741
2020-01-22,0.6859504132231399,67,122,0.7716959385517719
2020-01-23,0.3719008264462797,39,81,0.6930556476144407
2020-02-03,0.0,46,168,0.3400054712781966
2020-02-04,0.9090909090909081,107,169,0.8590358899774609
2020-02-05,0.8760330578512394,195,435,0.6417310204426241
2020-02-06,0.6198347107438009,154,242,0.8615685033656031
2020-02-07,0.3140495867768587,81,209,0.5532279186837682
2020-02-10,0.6446280991735532,109,235,0.6644605755786618
2020-02-11,0.27272727272727204,80,207,0.5515310993628785
2020-02-12,0.7603305785123959,252,324,0.9867267196749346
2020-02-13,0.3057851239669415,98,263,0.5278187643847452
2020-02-14,0.5206611570247925,116,229,0.7194031396522218
2020-02-17,0.5454545454545449,86,248,0.48338803731379265
2020-02-18,0.4876033057851231,201,385,0.7372065265076746
2020-02-19,0.07438016528925535,528,886,0.8193338818162498
2020-02-20,0.42148760330578494,296,666,0.6357430965592944
2020-02-21,0.537190082644627,118,356,0.4538154118570465
2020-02-24,0.49586776859504106,118,330,0.5013260024277084
2020-02-25,0.39669421487603196,115,314,0.5164130703477415
2020-02-26,0.3057851239669415,86,281,0.4051931929053992
2020-02-27,0.40495867768594984,66,268,0.2707240547507049
2020-02-28,0.34710743801652816,67,214,0.4208182099808949
2020-03-02,0.56198347107438,73,257,0.35939275761892253
2020-03-03,0.5041322314049582,78,249,0.42026358087080334
2020-03-04,0.49586776859504034,39,135,0.3751751209197155
2020-03-05,0.6694214876033054,74,207,0.5031762999950721
2020-03-06,0.3884297520661148,55,211,0.30765828806888096
2020-03-09,0.27272727272727204,54,208,0.3052917982552175
2020-03-10,0.5041322314049582,59,189,0.41984485222968093
2020-03-11,0.3223140495867759,61,382,0.0
2020-03-12,0.34710743801652816,55,203,0.3318267408911833
2020-03-13,0.3884297520661155,57,188,0.4018600163732781
2020-03-16,0.33057851239669306,31,96,0.44730444889971294
2020-03-17,0.4876033057851231,30,97,0.4209124859661795
2020-03-18,0.3966942148760327,28,93,0.4051931929053992
2020-03-19,0.49586776859504106,31,108,0.37402121370327895
2020-03-20,0.5454545454545441,30,81,0.5329062602197443
2020-03-23,0.23966942148760334,21,106,0.15023601695107225
2020-03-24,0.7024793388429742,50,86,0.8085107868877985
2020-03-25,0.5454545454545449,36,91,0.5717739067035519
2020-03-26,0.4462809917355365,20,59,0.48447038435621276
2020-03-27,0.4380165289256193,24,37,0.8809993750795123
2020-03-30,0.39669421487603196,17,49,0.502170211224853
2020-03-31,0.47933884297520596,27,65,0.6053380874908342
2020-04-01,0.5867768595041315,44,94,0.6745995133384998
2020-04-02,0.5289256198347105,26,70,0.5366063524242819
2020-04-03,0.3553719008264453,25,95,0.3233551208254914
2020-04-07,0.6033057851239666,36,106,0.47687496516321404
2020-04-08,0.5041322314049582,32,86,0.5349994402881475
2020-04-09,0.4545454545454537,29,115,0.29436452626052834
2020-04-10,0.3966942148760327,27,76,0.508484860385011
2020-04-13,0.41322314049586706,22,105,0.1840647572196096
2020-04-14,0.6198347107438009,42,100,0.6075558882501736
2020-04-15,0.4380165289256186,23,73,0.43660057328168805
2020-04-16,0.42148760330578494,30,126,0.2580442094752187
2020-04-17,0.5041322314049582,33,102,0.44768558467284975
2020-04-20,0.5041322314049574,49,172,0.36418412981308584
2020-04-21,0.41322314049586706,22,108,0.1665296013787105
2020-04-22,0.5041322314049582,31,53,0.8153180290192871
2020-04-23,0.41322314049586706,35,123,0.3670152360639658
2020-04-24,0.4380165289256193,29,106,0.345107072613392
2020-04-27,0.46280991735537086,37,105,0.4995302816992421
2020-04-28,0.40495867768594984,31,130,0.2585081865814106
2020-04-29,0.48760330578512384,55,197,0.35058342638201534
2020-04-30,0.611570247933883,58,100,0.8063113600114059
2020-05-06,0.6033057851239666,56,90,0.8501510490466614
2020-05-07,0.41322314049586706,57,166,0.4796144385663944
2020-05-08,0.5041322314049582,38,127,0.3973584733531899
2020-05-11,0.4214876033057842,40,132,0.4047043050819393
2020-05-12,0.3966942148760327,41,172,0.2546374951778967
2020-05-13,0.4876033057851231,33,134,0.27770104168555876
2020-05-14,0.4380165289256193,26,92,0.3670152360639658
2020-05-15,0.47933884297520596,61,159,0.548420685571169
2020-05-18,0.4876033057851231,26,70,0.5366063524242819
2020-05-19,0.4710743801652888,68,281,0.2595517050121977
2020-05-20,0.5454545454545449,51,139,0.5218062562752518
2020-05-21,0.3884297520661148,46,142,0.4449659373557262
2020-05-22,0.3719008264462804,51,178,0.36740512270554865
2020-05-25,0.4297520661157014,25,142,0.07297889069507177
2020-05-26,0.5454545454545449,38,86,0.639959906365677
2020-05-27,0.4462809917355365,32,126,0.2973258937352936
2020-05-28,0.5537190082644627,32,124,0.3072991555625332
2020-05-29,0.4297520661157014,44,147,0.39605087183492316
2020-06-01,0.56198347107438,40,133,0.3999978987853711
2020-06-02,0.5123966942148747,50,156,0.4376002589384872
2020-06-03,0.4628099173553716,31,80,0.5605633679104682
2020-06-04,0.5537190082644621,50,114,0.6331993590655243
2020-06-05,0.4462809917355365,29,122,0.2575496779245016
2020-06-08,0.4710743801652888,40,89,0.6500811457895914
2020-06-09,0.47933884297520596,45,123,0.5210262409016378
2020-06-10,0.4380165289256193,33,127,0.31115469276649255
2020-06-11,0.537190082644627,48,166,0.37366840004716717
2020-06-12,0.40495867768594984,36,85,0.6141474187277413
2020-06-15,0.4628099173553716,35,76,0.6663862943880066
2020-06-16,0.6694214876033048,85,158,0.7579485234664796
2020-06-17,0.4710743801652888,41,86,0.6865221159219353
2020-06-18,0.4380165289256193,37,75,0.7085700729658654
2020-06-19,0.5619834710743792,63,98,0.8699874775472517
2020-06-22,0.5702479338842972,90,193,0.6684520460828
2020-06-23,0.6115702479338837,126,235,0.7547518390937576
2020-06-24,0.4214876033057842,38,107,0.5041064294066118
2020-06-29,0.3801652892561976,32,94,0.47972845767618
2020-06-30,0.6198347107438009,58,133,0.6286781834020045
2020-07-01,0.4462809917355365,57,145,0.5640502199484916
2020-07-02,0.5289256198347105,67,140,0.6858852154084527
2020-07-03,0.537190082644627,73,163,0.6440722315831424
2020-07-06,0.6694214876033054,74,126,0.8131498651130892
2020-07-07,0.47933884297520596,62,156,0.5703662490814428
2020-07-08,0.5702479338842972,58,95,0.83821172895946
2020-07-09,0.537190082644627,51,130,0.5635538652397947
2020-07-10,0.34710743801652816,53,110,0.6913552343905067
2020-07-13,0.776859504132231,96,121,1.0
2020-07-14,0.29752066115702436,50,155,0.4416149837980476
2020-07-15,0.3553719008264453,56,103,0.7662529675713644
2020-07-16,0.28099173553718926,53,128,0.5969325801523828
2020-07-17,0.7272727272727272,69,144,0.6865221159219353
2020-07-20,0.6363636363636352,58,125,0.6673551493259382
2020-07-21,0.3140495867768587,63,190,0.45709637128523156
2020-07-22,0.41322314049586706,56,195,0.36808286980046406
2020-07-23,0.5702479338842972,65,122,0.7529392530609398
2020-07-24,0.1900826446280988,52,214,0.26423535422207695
2020-07-27,0.537190082644627,52,132,0.5660019760178465
2020-07-28,0.7190082644628093,65,159,0.587702369831244
2020-07-29,0.5537190082644627,72,154,0.6709859746778577
2020-07-30,0.4545454545454537,92,148,0.8479277547849603
2020-07-31,0.40495867768594984,62,179,0.48447038435621276
2020-08-03,0.6363636363636352,62,125,0.7085700729658654
2020-08-04,0.5785123966942143,96,156,0.8415266020951937
2020-08-05,0.3884297520661148,79,213,0.5258583811945124
2020-08-06,0.4545454545454544,64,133,0.6895291520923305
2020-08-07,0.3553719008264453,43,150,0.369322628678335
2020-08-10,0.42975206611570216,38,136,0.35466491600274114
2020-08-11,0.33884297520661094,66,248,0.31926573761267607
2020-08-12,0.6280991735537181,151,286,0.7447260341104464
2020-08-13,0.4297520661157014,157,461,0.4699266100594936
2020-08-14,0.7438016528925616,219,493,0.6358373018676272
2020-08-17,0.6446280991735532,146,340,0.6153911388035767
2020-08-18,0.4545454545454537,103,257,0.5732202451742493
2020-08-19,0.42148760330578494,144,350,0.5886238330638917
2020-08-20,0.3719008264462797,207,581,0.49759546644927805
2020-08-21,0.6776859504132227,214,539,0.5654529046705292
2020-08-24,0.4876033057851231,83,215,0.5506686389628698
2020-08-25,0.3305785123966938,69,399,0.048964414666273735
2020-08-26,0.3719008264462804,100,431,0.2309611196962819
2020-08-27,0.4628099173553716,88,394,0.2077489160005092
2020-08-28,0.4876033057851231,51,212,0.25813935633732965
2020-08-31,0.4297520661157014,64,243,0.3129697223467088
2020-09-01,0.5289256198347105,53,176,0.39817710839115045
2020-09-02,0.41322314049586706,85,253,0.4636328350767408
2020-09-03,0.4214876033057842,53,228,0.2363438574098139
2020-09-04,0.4214876033057842,41,137,0.3966576341251978
2020-09-07,0.40495867768594984,47,153,0.4116316332791877
2020-09-08,0.5785123966942143,45,123,0.5210262409016378
2020-09-09,0.42975206611570216,38,105,0.5158507396214417
2020-09-10,0.3553719008264453,25,135,0.10451322275380481
2020-09-11,0.49586776859504106,34,151,0.22139371677992056
2020-09-14,0.5619834710743792,39,90,0.6276240829171339
2020-09-15,0.4214876033057842,38,172,0.20807528562163857
2020-09-16,0.49586776859504106,39,117,0.4643753629978074
2020-09-17,0.5702479338842964,36,87,0.5997030514880681
2020-09-18,0.49586776859504106,42,136,0.4160113912666587
2020-09-21,0.4214876033057842,23,81,0.3721027318989649
2020-09-22,0.3884297520661155,26,107,0.2730641032759263
2020-09-23,0.471074380165288,50,171,0.3802685085341302
2020-09-24,0.33884297520661094,27,164,0.029630510666539572
2020-09-25,0.3801652892561976,44,250,0.06415604537863966
2020-09-28,0.40495867768594984,38,165,0.2340265621324842
2020-09-29,0.5371900826446276,30,104,0.3775641059376473
2020-09-30,0.41322314049586706,21,98,0.19906075074822763
2020-10-09,0.6611570247933876,30,62,0.6985170216531229
2020-10-12,0.6033057851239666,30,71,0.6146189401778259
2020-10-13,0.4710743801652888,22,64,0.49133714453849664
2020-10-14,0.47933884297520596,25,63,0.5781097819343103
2020-10-15,0.46280991735537086,20,47,0.6246719914905684
2020-10-16,0.40495867768594984,25,103,0.2730641032759263
2020-10-19,0.4876033057851231,19,63,0.4132657104102817
2020-10-20,0.5041322314049582,46,144,0.436239376202037
2020-10-21,0.4214876033057842,23,119,0.13286249614157083
2020-10-22,0.4710743801652888,32,81,0.5721879444798195
2020-10-23,0.40495867768594984,18,110,0.035065163219114404
2020-10-26,0.46280991735537086,12,77,0.018309442167107438
2020-10-27,0.5041322314049582,20,66,0.4151384459331129
2020-10-28,0.49586776859504106,35,136,0.30437389845317603
2020-10-29,0.5785123966942143,39,87,0.6486864675193664
2020-10-30,0.33057851239669306,47,181,0.3066711672016581
2020-11-02,0.19834710743801598,89,424,0.1687752591787031
2020-11-03,0.8512396694214871,157,369,0.6094486040364573
2020-11-04,0.4214876033057842,47,114,0.5951087695749581
2020-11-05,0.6528925619834703,42,136,0.4160113912666587
2020-11-06,0.4628099173553716,45,128,0.49618892388123603
2020-11-09,0.5123966942148754,48,140,0.47999846296729226
2020-11-10,0.39669421487603196,19,93,0.1717389547811824
2020-11-11,0.42148760330578494,12,64,0.13286249614157083
2020-11-12,0.4214876033057842,57,186,0.40854414646307774
2020-11-13,0.5537190082644621,37,167,0.2101814357974686
2020-11-16,0.636363636363636,31,115,0.3349142277072931
2020-11-17,0.4462809917355365,20,85,0.25827983756826683
2020-11-18,0.39669421487603196,49,207,0.2484216388862532
2020-11-19,0.3966942148760327,44,186,0.24909326086655947
2020-11-20,0.7520661157024787,125,292,0.6138575712793436
2020-11-23,0.46280991735537086,73,302,0.25837857290323074
2020-11-24,0.6280991735537188,97,235,0.591883562602797
2020-11-25,0.3801652892561976,50,163,0.4101933213895313
2020-11-26,0.40495867768594984,55,218,0.28724760179574255
2020-11-27,0.4545454545454537,46,157,0.3822925295970211
2020-11-30,0.4710743801652888,65,215,0.39914596332908214
2020-12-01,0.49586776859504034,56,221,0.28981982432793324
2020-12-02,0.47933884297520596,57,179,0.43251498887244455
2020-12-03,0.3966942148760327,48,213,0.21786061110956287
2020-12-04,0.6776859504132219,74,207,0.5031762999950721
2020-12-07,0.48760330578512384,47,147,0.43660057328168805
2020-12-08,0.4462809917355365,81,192,0.6062675289365818
2020-12-09,0.4710743801652888,89,252,0.4946754626816943
2020-12-10,0.4049586776859491,49,256,0.11551182310394946
2020-12-11,0.5041322314049582,58,220,0.3143241522293894
2020-12-14,0.4462809917355365,87,277,0.42134976864436796
2020-12-15,0.6694214876033054,148,296,0.7106820154678156
2020-12-16,0.5123966942148754,138,305,0.6482756781600133
2020-12-17,0.6446280991735525,224,382,0.8098603167466896
2020-12-18,0.5041322314049582,161,340,0.676439345700749
2020-12-21,0.9421487603305783,390,719,0.7604700601597483
2020-12-22,0.4297520661157014,232,517,0.6421022185684384
2020-12-23,0.7438016528925616,291,602,0.6884542120478385
2020-12-24,0.4710743801652888,187,384,0.6937080903550518
2020-12-25,0.694214876033057,257,445,0.8001688918764979
2020-12-28,0.4380165289256193,246,460,0.7520093072065073
2020-12-29,0.19834710743801523,136,369,0.5198438320789015
2020-12-30,1.0,286,549,0.7354055668167222
